disease,symptom
disease,symptoms
panic disorder,anxiety and nervousness
panic disorder,depression
panic disorder,shortness of breath
panic disorder,depressive or psychotic symptoms
panic disorder,dizziness
panic disorder,insomnia
panic disorder,abnormal involuntary movements
panic disorder,chest tightness
panic disorder,palpitations
panic disorder,irregular heartbeat
panic disorder,breathing fast
vocal cord polyp,hoarse voice
vocal cord polyp,sore throat
vocal cord polyp,difficulty speaking
vocal cord polyp,throat swelling
vocal cord polyp,throat feels tight
turner syndrome,depression
turner syndrome,emotional symptoms
cryptorchidism,lack of growth
cryptorchidism,symptoms of the scrotum and testes
cryptorchidism,swelling of scrotum
poisoning due to ethylene glycol,depression
poisoning due to ethylene glycol,depressive or psychotic symptoms
poisoning due to ethylene glycol,abusing alcohol
poisoning due to ethylene glycol,fainting
atrophic vaginitis,suprapubic pain
atrophic vaginitis,vaginal itching
atrophic vaginitis,painful urination
atrophic vaginitis,involuntary urination
atrophic vaginitis,pain during intercourse
atrophic vaginitis,frequent urination
atrophic vaginitis,vaginal discharge
atrophic vaginitis,blood in urine
fracture of the hand,hand or finger pain
fracture of the hand,wrist pain
fracture of the hand,hand or finger swelling
fracture of the hand,arm pain
fracture of the hand,wrist swelling
fracture of the hand,arm stiffness or tightness
fracture of the hand,hand or finger stiffness or tightness
fracture of the hand,wrist stiffness or tightness
cellulitis or abscess of mouth,sore throat
cellulitis or abscess of mouth,throat swelling
cellulitis or abscess of mouth,difficulty in swallowing
cellulitis or abscess of mouth,lip swelling
cellulitis or abscess of mouth,toothache
cellulitis or abscess of mouth,abnormal appearing skin
cellulitis or abscess of mouth,skin growth
eye alignment disorder,lack of growth
eye alignment disorder,eye deviation
eye alignment disorder,diminished vision
eye alignment disorder,double vision
eye alignment disorder,cross-eyed
eye alignment disorder,symptoms of eye
eye alignment disorder,pain in eye
eye alignment disorder,eye moves abnormally
eye alignment disorder,irregular appearing scalp
headache after lumbar puncture,dizziness
headache after lumbar puncture,vomiting
headache after lumbar puncture,headache
headache after lumbar puncture,nausea
headache after lumbar puncture,painful urination
headache after lumbar puncture,neck pain
headache after lumbar puncture,low back pain
pyloric stenosis,cough
pyloric stenosis,vomiting
pyloric stenosis,arm stiffness or tightness
salivary gland disorder,sore throat
salivary gland disorder,cough
salivary gland disorder,throat feels tight
salivary gland disorder,swollen lymph nodes
osteochondrosis,hand or finger pain
osteochondrosis,knee pain
osteochondrosis,foot or toe pain
osteochondrosis,bowlegged or knock-kneed
osteochondrosis,ankle pain
osteochondrosis,elbow pain
injury to the knee,leg pain
injury to the knee,knee pain
injury to the knee,knee weakness
injury to the knee,problems with movement
injury to the knee,foot or toe swelling
metabolic disorder,jaundice
metabolic disorder,arm stiffness or tightness
metabolic disorder,weight gain
metabolic disorder,smoking problems
vaginitis,suprapubic pain
vaginitis,sharp abdominal pain
vaginitis,vaginal itching
vaginitis,painful urination
vaginitis,pain during intercourse
vaginitis,lower abdominal pain
vaginitis,vaginal discharge
vaginitis,pain during pregnancy
vaginitis,pelvic pain
vaginitis,vaginal pain
vaginitis,vaginal redness
sick sinus syndrome,shortness of breath
sick sinus syndrome,dizziness
sick sinus syndrome,palpitations
sick sinus syndrome,irregular heartbeat
sick sinus syndrome,fainting
sick sinus syndrome,weakness
sick sinus syndrome,decreased heart rate
sick sinus syndrome,increased heart rate
tinnitus of unknown cause,dizziness
tinnitus of unknown cause,hoarse voice
tinnitus of unknown cause,diminished hearing
tinnitus of unknown cause,headache
tinnitus of unknown cause,ear pain
tinnitus of unknown cause,ringing in ear
tinnitus of unknown cause,plugged feeling in ear
tinnitus of unknown cause,itchy ear(s)
glaucoma,diminished vision
glaucoma,symptoms of eye
glaucoma,pain in eye
glaucoma,foreign body sensation in eye
glaucoma,spots or clouds in vision
glaucoma,eye redness
glaucoma,lacrimation
glaucoma,itchiness of eye
glaucoma,itchy eyelid
eating disorder,anxiety and nervousness
eating disorder,depression
eating disorder,depressive or psychotic symptoms
eating disorder,insomnia
eating disorder,abusing alcohol
eating disorder,acne or pimples
eating disorder,weight gain
eating disorder,difficulty eating
eating disorder,decreased appetite
transient ischemic attack,depressive or psychotic symptoms
transient ischemic attack,dizziness
transient ischemic attack,difficulty speaking
transient ischemic attack,headache
transient ischemic attack,weakness
transient ischemic attack,loss of sensation
transient ischemic attack,focal weakness
transient ischemic attack,symptoms of the face
transient ischemic attack,disturbance of memory
transient ischemic attack,paresthesia
pyelonephritis,suprapubic pain
pyelonephritis,sharp abdominal pain
pyelonephritis,vomiting
pyelonephritis,nausea
pyelonephritis,painful urination
pyelonephritis,frequent urination
pyelonephritis,lower abdominal pain
pyelonephritis,blood in urine
pyelonephritis,back pain
pyelonephritis,low back pain
pyelonephritis,side pain
rotator cuff injury,arm pain
rotator cuff injury,arm stiffness or tightness
rotator cuff injury,hand or finger stiffness or tightness
rotator cuff injury,shoulder pain
rotator cuff injury,shoulder stiffness or tightness
rotator cuff injury,shoulder weakness
chronic pain disorder,leg pain
chronic pain disorder,hip pain
chronic pain disorder,sharp abdominal pain
chronic pain disorder,headache
chronic pain disorder,back pain
chronic pain disorder,low back pain
chronic pain disorder,pelvic pain
chronic pain disorder,knee pain
chronic pain disorder,shoulder pain
chronic pain disorder,ache all over
problem during pregnancy,sharp abdominal pain
problem during pregnancy,vomiting
problem during pregnancy,headache
problem during pregnancy,nausea
problem during pregnancy,lower abdominal pain
problem during pregnancy,back pain
problem during pregnancy,pain during pregnancy
problem during pregnancy,pelvic pain
problem during pregnancy,problems during pregnancy
problem during pregnancy,spotting or bleeding during pregnancy
problem during pregnancy,cramps and spasms
liver cancer,groin mass
liver cancer,sharp abdominal pain
liver cancer,decreased appetite
liver cancer,upper abdominal pain
liver cancer,stomach bloating
atelectasis,shortness of breath
atelectasis,sharp chest pain
atelectasis,dizziness
atelectasis,sore throat
atelectasis,cough
atelectasis,headache
injury to the hand,hand or finger pain
injury to the hand,wrist pain
injury to the hand,hand or finger swelling
injury to the hand,wrist swelling
injury to the hand,hand or finger stiffness or tightness
injury to the hand,skin growth
injury to the hand,joint pain
choledocholithiasis,sharp chest pain
choledocholithiasis,jaundice
choledocholithiasis,sharp abdominal pain
choledocholithiasis,vomiting
choledocholithiasis,nausea
choledocholithiasis,decreased appetite
choledocholithiasis,side pain
choledocholithiasis,upper abdominal pain
choledocholithiasis,chills
injury to the hip,leg pain
injury to the hip,hip pain
injury to the hip,hand or finger swelling
