disease,symptom,text
abdominal aortic aneurysm,burning abdominal pain,
abdominal aortic aneurysm,back pain,
abdominal aortic aneurysm,arm swelling,
abdominal aortic aneurysm,sharp abdominal pain,
abdominal aortic aneurysm,palpitations,
abdominal aortic aneurysm,shortness of breath,
abdominal hernia,irregular belly button,
abdominal hernia,regurgitation.1,
abdominal hernia,swollen abdomen,
abdominal hernia,upper abdominal pain,
abdominal hernia,ache all over,
abdominal hernia,lower abdominal pain,
abdominal hernia,sharp abdominal pain,
abdominal hernia,symptoms of the scrotum and testes,
abdominal hernia,groin mass,
abdominal hernia,regurgitation,
abscess of nose,cough,
abscess of nose,sore throat,
abscess of nose,nasal congestion,
abscess of nose,irritable infant,
abscess of nose,vomiting,
abscess of nose,fever,
abscess of nose,coryza,
abscess of nose,sinus congestion,
abscess of the lung,itchy eyelid,
abscess of the lung,cough,
abscess of the lung,shortness of breath,
abscess of the lung,depressive or psychotic symptoms,
abscess of the pharynx,sharp chest pain,
abscess of the pharynx,sore throat,
abscess of the pharynx,cough,
abscess of the pharynx,nasal congestion,
abscess of the pharynx,throat swelling,
abscess of the pharynx,difficulty in swallowing,
abscess of the pharynx,headache,
abscess of the pharynx,fever,
acanthosis nigricans,weight gain,
acanthosis nigricans,acne or pimples,
acanthosis nigricans,skin growth,
acanthosis nigricans,skin lesion,
acariasis,skin rash,
acariasis,itching of skin,
acariasis,emotional symptoms,
acariasis,swelling of scrotum,
achalasia,sharp chest pain,
achalasia,chest tightness,
achalasia,cough,
achalasia,throat feels tight,
achalasia,difficulty in swallowing,
acne,,"Yesterday, I noticed an enormous rash all over my skin. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
acne,,"I discovered that I had a significant rash all over my body this morning. Blackheads and pus-filled pimples are proliferating, and my skin has been scurrying a lot."
acne,,"This morning, I saw a large rash all over my body. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
acne,,"I woke up this morning to find that I had a major rash all over my body. It's covered in pus-filled pimples and blackheads, and my skin has been scurrying a lot"
acne,,"I woke up today to find that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
acne,,"This morning, I realized that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
acne,,I've recently been battling a pretty itchy rash on my skin. There are pus-filled pimples and blackheads all over it. My skin has also been scurring a lot.
acne,,"This morning when I woke up, I discovered an extremely bad rash on my skin. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot."
acne,,I awoke this morning to see a horrible rash on my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
acne,,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying about.
acne,,"When I awoke this morning, I realised that I had a severe rash all over my body. There are many pus-filled pimples and blackheads all over the place. My skin has also been scurring a lot."
acne,,"I woke up this morning to find that I have a terrible rash all over my body. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been changing a lot."
acne,,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot."
acne,,"I discovered a huge rash on my skin yesterday. My face is covered of blackheads and pus-filled pimples, and my skin has been crawling a lot."
acne,,"My skin has a horrible rash that is absolutely nonheritable. Blackheads and pus-filled pimples abound on it. In addition, my skin has been quite sensitive."
acne,,I've recently been dealing with an itching rash on my skin. It's covered in pus-filled pimples and blackheads. My skin has also been quite sensitive.
acne,,"When I awoke this morning, I saw a severe rash across my skin. There are many pus-filled pimples and blackheads all over the place. My skin has also been shifting a lot."
acne,,"When I woke up this morning, I saw a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been shifting a lot."
acne,,"I've recently struggled with a really irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot."
acne,skin swelling,
acne,abnormal appearing skin,
acne,acne or pimples,
acne,scaliness,
acne,peeling,
acne,skin dryness,
acne,long menstrual periods,
acne,skin moles,
acne,irregular appearing scalp,
acne,skin growth,
acne,,I've just developed a skin rash with several pus-filled pimples and blackheads. My skin has also been quite sensitive.
acne,,"My skin has merely developed an uninherited rash. It has a lot of pus-filled pimples and blackheads. Furthermore, my skin has been quite sensitive."
acne,,I awoke this morning to see that I had a horrible rash all over my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
