source_url,disease_name,symptom_list,generated_sentence_from_symptoms
https://medlineplus.gov/ency/article/001615.htm,Congenital cataract,"The ""red eye"" glow (red reflex) of the pupil is missing in photos, or is different between the 2 eyes | Unusual rapid eye movements (nystagmus) | An infant does not seem to be visually aware of the world around them (if cataracts are in both eyes) | Gray or white cloudiness of the pupil (which is normally black)","I've noticed some unusual symptoms in my infant's eyes, including the absence of the ""red eye"" glow in photos or a difference in the red reflex between the two eyes. Additionally, I've observed unusual rapid eye movements, known as nystagmus. What's even more concerning is that my infant doesn't seem to be visually aware of their surroundings, which makes me wonder if there's an issue with their vision. Furthermore, I've detected a gray or white cloudiness in their pupil, which is normally black, and I'm worried it might be a sign of cataracts or something else."
https://medlineplus.gov/ency/article/007326.htm,Dextrocardia,Repeated sinus or lung infections | Jaundice (yellow skin and eyes) | Fatigue | Difficulty breathing | Pale skin (pallor) | Bluish skin | Failure to grow and gain weight,"I've been struggling with recurring sinus and lung infections, and I've also noticed that my skin and eyes have taken on a yellowish hue, which I believe may be a sign of jaundice. Lately, I've been feeling extremely fatigued, and I've been having difficulty breathing, which has been really concerning for me. Additionally, I've observed that my skin has become quite pale, and in some areas, it even has a bluish tint. What's even more alarming is that I've been having trouble growing and gaining weight, which is causing me a lot of distress."
https://medlineplus.gov/ency/article/000879.htm,Rosacea,"Acne-like skin sores that may ooze or crust | Irritated, bloodshot, watery eyes | Red nose (may also be bulbous in appearance) | Redness of the face | A lot of spider-like blood vessels (telangiectasia) of the face | Blushing or flushing easily | Burning or stinging feeling in the face","I've been struggling with some uncomfortable symptoms on my face, including acne-like skin sores that often ooze or crust, and my eyes have been irritated, bloodshot, and watery. I've also noticed that my nose has become red and bulbous in appearance, and my whole face has taken on a reddish hue. Furthermore, I've developed a lot of spider-like blood vessels on my face, and I find myself blushing or flushing easily. To make matters worse, I often experience a burning or stinging feeling in my face, which can be quite distressing."
https://medlineplus.gov/ency/article/000564.htm,Gaucher disease,Severe swellingÂ at birth | Cognitive impairment (decreased thinking ability) | Easy bruising | Enlarged spleen | Fatigue | Enlarged liver | Bone pain and fractures | Skin changes | Heart valve problems | Lung disease (rare),"I've been dealing with a range of concerning symptoms, starting from birth, where I experienced severe swelling, and as I grew up, I've struggled with cognitive impairment, which has affected my thinking ability. I've also been prone to easy bruising, and my spleen and liver have become enlarged. Fatigue has become a constant companion, and I've had to cope with bone pain and fractures, as well as unsettling skin changes. Furthermore, I've been worried about potential heart valve problems and the rare possibility of lung disease."
https://medlineplus.gov/ency/article/001543.htm,Dysgraphia,Poor handwriting | Poor spelling | Poorly organized writing | The need to say words aloud when writing | Errors in grammar and punctuation,"I've been struggling with my writing skills lately, noticing that my handwriting is poor, and I often struggle with spelling, leading to poorly organized writing. I've also developed a habit of saying words aloud when I'm writing, which is unusual for me. Furthermore, I've been making frequent errors in grammar and punctuation, which is affecting the overall quality of my writing."
https://medlineplus.gov/ency/article/002849.htm,Scorpion fish sting,Headache | Tremors (shaking) | Low blood pressure and weakness | Delirium (agitation and confusion) | Severe pain at the site of the sting. Pain can quickly spread to the entire limb. | Skin color changes as the amount of oxygen supplying the area decreases. | Anxiety | Diarrhea | Fainting | Abdominal pain | Fever (from infection) | Difficulty breathing | Bleeding. | Seizures | Numbness and tingling spreading out from the site of the sting | Lighter color of the area around the site of the sting. | Nausea and vomiting | Collapse (shock) | Muscle twitching | Paralysis | Irregular heartbeat,"I've been experiencing a multitude of alarming symptoms after being stung, including headaches, tremors, and low blood pressure, which has left me feeling weak. I've also been dealing with delirium, which has caused agitation and confusion. The pain at the site of the sting is severe and has quickly spread to my entire limb. I've noticed skin color changes, likely due to a decrease in oxygen supply to the area. Along with this, I've been feeling anxious, and have had diarrhea, abdominal pain, and a fever, which I suspect may be a sign of infection. I've also had difficulty breathing, and have experienced bleeding, seizures, and numbness and tingling sensations spreading out from the site of the sting. The area around the sting has also become lighter in color. Additionally, I've been experiencing nausea and vomiting, and have even fainted, which has led to collapse and shock. Furthermore, I've noticed muscle twitching, paralysis, and an irregular heartbeat, which has me extremely concerned."
https://medlineplus.gov/ency/article/000884.htm,Seborrheic keratosis,"Are round or oval | Are most often tan, brown, or black | Are painless, but may become irritated and itchy | Are located on the face, chest, shoulders, back, or other areas, except the lips, palms, and soles | Often appear in clusters | Often have a waxy surface | May look like a piece of bee's wax that has been ""pasted-on"" the skin | May have a rough texture (like a wart) | Have a slightly raised, flat surface","I've been noticing some unusual growths on my skin, which are typically round or oval in shape and range in color from tan, brown, to black. They're usually painless, but sometimes they can become irritated and itchy. I've found them on my face, chest, shoulders, back, and other areas, although not on my lips, palms, or soles. What's interesting is that they often appear in clusters, and they have a distinct waxy surface, almost like a piece of bee's wax that's been pasted onto my skin. In some cases, they've had a rough texture, similar to a wart, and a slightly raised, flat surface."
https://medlineplus.gov/ency/article/001573.htm,Osteogenesis imperfecta,Blue tint to the whites of their eyes (blue sclera) | Scoliosis (S-curve spine) | Multiple bone fractures | Kyphosis | Early hearing loss (deafness) | Bowed legs and arms,"I've been noticing some unusual physical characteristics and health issues lately, including a blue tint to the whites of my eyes, and I've been experiencing scoliosis, which has resulted in an S-curve spine. Unfortunately, I've also had multiple bone fractures, kyphosis, and I've been struggling with early hearing loss, which has led to deafness. Additionally, I've been dealing with bowed legs and arms, which has been causing me a lot of discomfort and affecting my daily life."
https://medlineplus.gov/ency/article/000437.htm,Osteomyelitis,"Fever and chills | Bone pain | Pain at the site of infection | Local swelling, redness, and warmth | General discomfort, uneasiness, or ill feeling (malaise) | Open wound that may show pus | Excessive sweating","I've been experiencing a range of symptoms that are causing me a lot of distress, including fever and chills, which are accompanied by bone pain and pain at the site of infection. The affected area is also showing signs of local swelling, redness, and warmth, making me feel generally unwell and uneasy. To make matters worse, I've noticed an open wound that's producing pus, and I've been sweating excessively, which is adding to my overall malaise."
https://medlineplus.gov/ency/article/000725.htm,Arterial insufficiency,"If it affects your brain arteries, you may have a transient ischemic attack (TIA) or stroke. | If it affects your heart arteries, you may have chest pain (angina pectoris) or a heart attack. | If it affects the arteries in your belly area, you may have pain after you eat. | If it affects the arteries that bring blood to your legs, you may have frequent leg cramping when you walk.","I've been experiencing some concerning symptoms lately, and I'm worried that I might be at risk for some serious health issues. If the problem is affecting my brain arteries, I'm concerned that I might have a transient ischemic attack or even a stroke. If it's affecting my heart arteries, I'm worried that I might have chest pain or even a heart attack. Additionally, if it's affecting the arteries in my belly area, I've been having pain after eating, and if it's affecting the arteries that bring blood to my legs, I've been experiencing frequent leg cramping when I walk."
