name,symptoms,description,treatments,contagious,chronic,url
abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, regurgitation, ache all over, upper abdominal pain, swollen abdomen, regurgitation.1, irregular belly button","","",,,""
hemiplegia,"abnormal involuntary movements, difficulty speaking, headache, arm stiffness or tightness, problems with movement, weakness, loss of sensation, slurring words, seizures","","",,,""
intracerebral hemorrhage,"depressive or psychotic symptoms, dizziness, vomiting, headache, nausea, diminished vision, weakness, blindness, focal weakness, seizures","","",,,""
lichen planus,"difficulty speaking, abnormal appearing skin, skin growth","","",,,""
hyperemesis gravidarum,"dizziness, sharp abdominal pain, vomiting, headache, nausea, diarrhea, pain during pregnancy, vomiting blood, burning abdominal pain, weakness, problems during pregnancy","","",,,""
dyshidrosis,"frequent urination, abnormal appearing skin, skin lesion, acne or pimples, skin rash","","",,,""
pemphigus,"hand or finger pain, abnormal appearing skin, skin lesion","","",,,""
colorectal cancer,"blood in stool, sharp abdominal pain, pain of the anus, rectal bleeding, mass or swelling around the anus, drainage in throat","","",,,""
obesity,"weight gain, excessive appetite, sleepiness","","",,,""
drug abuse (opioids),"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, drug abuse, restlessness, excessive anger, delusions or hallucinations, temper problems","","",,,""
fracture of the leg,"leg pain, hip pain, knee pain, ankle pain, knee weakness, knee swelling, problems with movement, leg swelling, leg stiffness or tightness, ankle swelling","","",,,""
drug abuse,"anxiety and nervousness, depression, depressive or psychotic symptoms, abusing alcohol, hostile behavior, drug abuse, smoking problems, delusions or hallucinations, sweating, antisocial behavior","","",,,""
open wound of the arm,"arm pain, knee weakness, elbow pain, redness in or around nose","","",,,""
injury to the abdomen,"sharp chest pain, leg pain, sharp abdominal pain, blood in urine, back pain","","",,,""
hirschsprung disease,"emotional symptoms, sharp abdominal pain, constipation","","",,,""
down syndrome,"difficulty speaking, cough, nasal congestion, lack of growth, decreased appetite, seizures","","",,,""
poisoning due to sedatives,"depression, depressive or psychotic symptoms, insomnia, hostile behavior, drug abuse, sleepiness","","",,,""
typhoid fever,"wrist pain, fever","","",,,""
fibromyalgia,"sharp chest pain, leg pain, hip pain, headache, arm pain, back pain, neck pain, low back pain, muscle pain, ache all over","","",,,""
edward syndrome,"suprapubic pain, cross-eyed","","",,,""
vaginismus,"suprapubic pain, sharp abdominal pain, pain during intercourse, lower abdominal pain, pelvic pain, vaginal pain","","",,,""
factitious disorder,"depression, depressive or psychotic symptoms, elbow weakness, disturbance of memory","","",,,""
cryptococcosis,"depressive or psychotic symptoms, cross-eyed","","",,,""
drug reaction,"shortness of breath, dizziness, throat swelling, vomiting, headache, nausea, abnormal appearing skin, peripheral edema, allergic reaction, itching of skin, skin rash","","",,,""
